"","PPFD","Time","PPFDdiff","RelHum","AirTemp","SoilTempA","SoilTempB","FricVel","NEP","DiffuseFract","VaporPressureDeficit"
"1",397.43394,2020-07-01 07:30:00,392.26672,94.01483,13.45,12.624,11.1415,0.76653,2.484,0.986998543707666,92.3474852155239
"2",704.77962,2020-07-01 08:00:00,533.43595,90.58492,13.90867,12.611,11.1335,0.85997,-1.787,0.756883336098737,149.669195092347
"3",693.9786,2020-07-01 08:30:00,530.1915,86.19497,14.52033,12.5945,11.0965,0.82403,-1.373,0.763988255545632,228.325753091575
"4",1189.50304,2020-07-01 09:00:00,591.40994,77.2502,15.38733,12.6275,11.093,1.1167,-11.132,0.49719077641029,397.873986213383
"5",1094.90693,2020-07-01 09:30:00,694.64915,75.72664,15.606,12.6635,11.08,1.03984,-10.25,0.634436709611473,430.514626462539
"6",266.066,2020-07-01 10:30:00,264.39578,91.44656,12.59533,12.815,11.067,0.61249,-1.112,0.99372253501011,124.799712311235
"7",1014.97374,2020-07-01 11:30:00,797.45173,93.96636,13.30867,12.954,11.149,0.57281,3.761,0.785687056297634,92.2412341593556
"8",434.05994,2020-07-01 12:00:00,419.93261,89.41172,13.676,12.962,11.1,0.69942,-1.83,0.967453043466762,165.792775426967
"9",888.22953,2020-07-01 12:30:00,613.33332,92.05758,13.86433,13.0145,11.22,0.54183,-2.619,0.690512192270842,125.895581311682
"10",397.76372,2020-07-01 13:00:00,387.95161,92.81067,13.86567,13.056,11.133,0.53457,-0.373,0.975331812564505,113.968245676572
"11",171.34306,2020-07-01 13:30:00,170.79445,92.75619,13.247,13.1045,11.111,0.66298,3.52,0.996798177877762,110.297247443421
"12",227.43128,2020-07-01 14:00:00,226.16394,94.77047,13.04267,13.1685,11.125,0.58413,2.583,0.994427591490493,78.5709901579576
"13",177.27111,2020-07-01 14:30:00,177.27111,95.89647,12.789,13.2065,11.131,0.6193,0.746,1,60.6381401659237
"14",334.2965,2020-07-01 15:00:00,334.20567,96.14875,12.908,13.219,11.13,0.59996,1.706,0.999728295091334,57.3554528476693
"15",372.80439,2020-07-01 15:30:00,371.54461,93.44808,13.22933,13.19,11.1,0.69006,-2.907,0.996620801595174,99.6472184907789
"16",555.19917,2020-07-01 16:00:00,540.15284,88.56294,13.259,13.1975,11.1085,0.83603,0.655,0.972899221012884,174.28188183125
"17",555.88122,2020-07-01 16:30:00,492.58134,85.4187,13.46233,13.204,11.1235,0.77353,-3.622,0.886126967915916,225.161345567252
"18",798.69388,2020-07-01 17:00:00,442.29584,82.03734,13.79367,13.194,11.1135,0.982,-3.425,0.553773918988837,283.422388834901
"19",653.14144,2020-07-01 17:30:00,299.28566,72.16764,13.85333,13.2165,11.129,1.02116,-5.195,0.458224883112607,440.856560910812
"20",592.66073,2020-07-01 18:00:00,192.15167,71.09058,13.589,13.2065,11.118,0.98928,-3.411,0.32421866385512,450.111845679763
"21",364.39567,2020-07-01 18:30:00,202.88467,69.99301,13.292,13.205,11.1235,0.75349,-2.108,0.556770254706923,458.242857368796
"22",265.49522,2020-07-01 19:00:00,170.02494,68.10094,12.98633,13.185,11.1185,0.78592,-1.617,0.640406783971478,477.504080608632
"23",175.81955,2020-07-01 19:30:00,137.81156,70.91447,12.589,13.1575,11.127,0.69346,0.924,0.783823869416114,424.198704487305
"24",161.50989,2020-07-01 20:00:00,94.63044,71.78708,12.36367,13.144,11.159,0.65991,0.712,0.585911116650503,405.42653580738
"25",120.90584,2020-07-01 20:30:00,72.55022,72.90642,12.054,13.105,11.1665,0.54479,3.704,0.600055547358176,381.484850180885
"26",63.08461,2020-07-01 21:00:00,47.21411,74.99864,11.66033,13.0555,11.1775,0.48419,5.462,0.748425170576469,342.99517510374
"27",25.28217,2020-07-01 21:30:00,22.41922,76.95858,11.19367,13,11.1865,0.49157,3.406,0.886760115923593,306.484240623296
"28",1067.33037,2020-07-02 08:00:00,153.39917,57.81116,13.34333,11.454,10.961,0.41712,-2.59,0.1437222947193,646.435776207191
"29",1138.40983,2020-07-02 08:30:00,187.59883,51.61645,13.59923,11.438,10.926,0.41884,-9.435,0.164790240787011,753.820669108465
"30",1311.16169,2020-07-02 09:00:00,289.82593,47.01912,14.10667,11.451,10.8975,0.54891,-7.536,0.221045148138823,853.114843567416
"31",993.35604,2020-07-02 09:30:00,326.62772,42.43598,14.31433,11.5015,10.895,0.57479,-6.317,0.328812336007943,939.468377249407
"32",1225.94238,2020-07-02 10:00:00,283.84111,39.6149,14.41767,11.549,10.8665,0.63498,-6.956,0.23152891573909,992.121409619967
"33",1554.64802,2020-07-02 10:30:00,342.01977,37.87019,15.027,11.6035,10.8635,0.7798,-9.952,0.21999820255134,1061.71906829944
"34",1546.81287,2020-07-02 11:00:00,243.87694,38.0545,15.337,11.6475,10.8275,0.5858,-5.583,0.157664152354771,1079.87756984733
"35",1729.02977,2020-07-02 12:00:00,282.22922,37.69735,15.78733,11.7945,10.787,0.72969,-11.682,0.163229821080524,1117.90955683504
"36",1663.3566,2020-07-02 12:30:00,236.95223,35.17286,16.205,11.883,10.7715,0.75471,-11.069,0.142454257854269,1194.65765620848
"37",1584.41381,2020-07-02 13:00:00,266.59077,33.73781,16.71533,11.9815,10.7625,0.55085,-9.622,0.168258297369928,1261.41382617053
"38",1668.17063,2020-07-02 13:30:00,313.97622,32.84825,16.767,12.084,10.76,0.61752,-11.304,0.188215890121504,1282.54940351736
"39",1026.95323,2020-07-02 14:00:00,357.07272,34.16481,16.99733,12.165,10.7485,0.5692,-10.507,0.347701053532886,1275.90960897318
"40",53.62761,2020-07-02 18:30:00,53.62339,66.1215,14.44133,12.6375,10.7585,0.47295,1.642,0.999921309191292,557.472880194264
